net,length_um
pwm_inst.PWM0CFG_REG\[6\],63.46µm
_1788_,63.42µm
net403,63.04µm
_1779_,62.72µm
_2954_,62.58µm
pwm_inst.PR_REG\[14\],62.44µm
_2619_,62.06µm
uart_inst.RIS_REG\[4\],61.98µm
_1712_,61.92µm
_1345_,61.85µm
_2702_,61.56µm
_2176_,61.34µm
uart_inst.instance_to_wrap.rx_glitch_filter.tick,61.26µm
_1686_,61.12µm
_1295_,61.02µm
_1235_,60.83µm
_2149_,60.82µm
_2092_,60.74µm
_2789_,60.66µm
uart_inst.RX_FIFO_LEVEL_WIRE\[0\],60.35µm
clknet_leaf_66_wb_clk_i,60µm
uart_inst.instance_to_wrap.fifo_rx.r_ptr_reg\[3\],59.94µm
pwm_inst.CMPY_REG\[13\],59.68µm
net58,59.4µm
clknet_leaf_24_wb_clk_i,59.34µm
pwm_inst.TMR_WIRE\[4\],59.28µm
uart_inst.IC_REG\[4\],59.185µm
_1308_,59.08µm
_2772_,59.08µm
pwm_inst.instance_to_wrap.pwm0_en,58.7µm
_2649_,58.62µm
pwm_inst.CMPY_REG\[4\],58.54µm
uart_inst.PR_REG\[7\],58.48µm
_1893_,58.1µm
_2015_,57.84µm
pwm_inst.RELOAD_REG\[31\],57.84µm
_2729_,57.62µm
_1905_,57.57µm
uart_inst.instance_to_wrap.uart_tx.count_reg\[0\],57.52µm
_1725_,57.4µm
_2958_,57.38µm
_1546_,57.32µm
clknet_leaf_14_wb_clk_i,57.32µm
pwm_inst.CFG_REG\[2\],56.9µm
_1260_,56.88µm
dat_o\[2\]\[12\],56.8µm
pwm_inst.CMPY_REG\[28\],56.79µm
uart_inst.instance_to_wrap.uart_rx.count_reg\[0\],56.74µm
uart_inst.PR_REG\[9\],56.7µm
uart_inst.TX_FIFO_LEVEL_WIRE\[3\],56.635µm
_2118_,56.41µm
_2114_,56.22µm
_2817_,56.16µm
_1958_,56.15µm
_1636_,55.98µm
_2694_,55.82µm
pwm_inst.TMR_WIRE\[27\],55.62µm
_1300_,55.56µm
uart_inst.MATCH_REG\[7\],55.44µm
uart_inst.instance_to_wrap.buad_gen.count_reg\[8\],55.25µm
_2788_,55.165µm
_1609_,55.16µm
_2553_,55.14µm
pwm_inst.CMPX_REG\[10\],55.14µm
_1294_,54.94µm
pwm_inst.PR_REG\[3\],54.745µm
uart_inst.RX_FIFO_LEVEL_WIRE\[1\],54.68µm
pwm_inst.TMR_WIRE\[30\],54.66µm
